ID,Category,Content Format,Working Title,Hook (0-2 sec),Viewer Interaction / Guess,Correct Answer / Reveal,Core Explanation,Final Wow Fact,Target Duration (sec),Priority,Difficulty,Primary Engine,Supporting Tools,Accuracy / Caveat,Primary Source URL,Secondary Source URL,Status
V001,Space & Astronomy,Guess and reveal,Which Planet Has a Day Longer Than Its Year?,One planet finishes a year before it finishes one rotation. Guess which one.,"Show Mercury, Venus, Mars and Jupiter; pause 2.5 seconds.","Venus. One rotation takes about 243 Earth days, while one orbit takes about 225 days.",Venus rotates extremely slowly and in the opposite direction to most planets. Distinguish a sidereal rotation from sunrise-to-sunrise time.,"On Venus, the Sun rises in the west and sets in the east.",30,High,Easy,React Three Fiber,"Remotion, SVG counters, MuAPI TTS","Say rotation day, not ordinary solar day; sunrise-to-sunrise is about 117 Earth days.",https://science.nasa.gov/venus/venus-facts/,https://spaceplace.nasa.gov/all-about-venus/en/,Planned
V002,Space & Astronomy,Guess and reveal,Which Planet Could Float in Water?,"If a planet-sized ocean existed, which planet would float?","Show Jupiter, Saturn, Uranus and Neptune; ask viewers to choose.","Saturn, because its average density is lower than liquid water.",Average density compares total mass with total volume. Saturn has no solid surface and the ocean is only a thought experiment.,Saturn is the only planet in our solar system with an average density below water.,28,High,Easy,React Three Fiber,"Remotion, fluid shader, SVG density gauge",Clearly call this a scale-impossible thought experiment; Saturn is a gas giant without a solid surface.,https://science.nasa.gov/saturn/facts/,https://science.nasa.gov/mission/cassini/faq/,Planned
V003,Space & Astronomy,Fastest wins,Which Planet Has the Shortest Day?,Which planet spins through a full day in under ten hours?,Race all eight planets using rotation clocks.,"Jupiter, with a rotation period of about 9.9 hours.",A shorter rotation period means faster spinning. Jupiter spins so quickly that it bulges at its equator.,Jupiter is more than 11 times wider than Earth yet rotates in less than half an Earth day.,28,High,Easy,React Three Fiber,"Remotion, SVG timer, motion blur",Gas giants rotate differentially; use the standard quoted rotation period.,https://science.nasa.gov/jupiter/jupiter-facts/,https://spaceplace.nasa.gov/days/en/,Planned
V004,Space & Astronomy,Multiple-choice fact,Which Planet Has the Fastest Winds?,These winds can outrun the speed of sound. Which planet has them?,"Offer Jupiter, Saturn, Uranus and Neptune.","Neptune, where winds exceed 1,200 mph or about 2,000 km/h.","Despite receiving little sunlight, Neptune has powerful atmospheric dynamics driven partly by internal heat.","Neptune is the farthest major planet from the Sun, yet it is the solar system’s windiest world.",30,High,Medium,React Three Fiber,"Canvas particles, Remotion speedometer",Use “measured winds” and avoid claiming every location constantly reaches the maximum.,https://science.nasa.gov/neptune/neptune-facts/,https://science.nasa.gov/mission/voyager/fact-sheet/,Planned
V005,Space & Astronomy,What-if timeline,What If the Sun Disappeared Right Now?,"For eight minutes, Earth would not notice anything. Then everything changes.",Ask viewers what arrives first: darkness or loss of gravity.,Both effects would reach Earth after roughly eight minutes because changes in gravity and light propagate at light speed.,"Earth would then continue along a tangent rather than orbiting the missing Sun; temperatures would fall over time, not instantly.",The last sunlight and the last gravitational influence would effectively arrive together.,35,High,Advanced,React Three Fiber,"Remotion timeline, particle lighting, SVG tangent path",Explicitly label this as an impossible magical thought experiment; the Sun cannot simply vanish.,https://gracefo.jpl.nasa.gov/news/5/what-is-gravity/,https://science.nasa.gov/earth/facts/,Planned
V006,Space & Astronomy,Scale reveal,How Many Earths Fit Inside the Sun?,"Is it ten thousand, one hundred thousand, or more than a million?",Show three answer buttons and fill the Sun with Earth spheres.,"About 1.3 million Earths by volume, ignoring packing gaps.",The Sun is about 109 Earth diameters wide; volume scales with the cube of diameter.,The Sun contains more than 99% of the mass in the entire solar system.,28,High,Medium,React Three Fiber,"Remotion counters, instanced meshes",Clarify that 1.3 million is a volume ratio; real spheres leave packing gaps.,https://science.nasa.gov/sun/facts/,https://imagine.gsfc.nasa.gov/ask_astro/solar_system.html,Planned
V007,Space & Astronomy,Shocking fact,The Planet Where It May Rain Glass Sideways,This blue planet may have glass rain moving sideways at thousands of miles per hour.,"Ask whether the blue colour means oceans, ice, gas or silicate clouds.","HD 189733 b. Its colour likely comes from silicate particles, and models suggest glass-like rain driven sideways by extreme winds.","It is a hot Jupiter exoplanet, not an Earth-like ocean world. The rain description is an interpretation of silicate weather, not direct footage.","Its winds may reach about 5,400 mph, around seven times the speed of sound.",32,High,Advanced,React Three Fiber,"GPU particles, Remotion labels, MuAPI background texture",Use “may” or “possibly”; the weather is inferred from observations and models.,https://www.nasa.gov/image-article/rains-of-terror-exoplanet-hd-189733b/,https://science.nasa.gov/universe/exoplanets/,Planned
V008,Space & Astronomy,Extreme number reveal,What Is the Coldest Known Natural Place?,It is colder than the leftover glow of the Big Bang.,"Offer Antarctica, Pluto, deep space and the Boomerang Nebula.","The Boomerang Nebula, with regions near 1 kelvin.","Rapidly expanding gas cools exceptionally efficiently, dropping below the 2.7 K cosmic microwave background.","It is around 5,000 light-years away and formed around a dying Sun-like star.",30,Medium,Medium,React Three Fiber,"Remotion thermometer, volumetric shader",Say coldest known natural region/object; laboratories can produce lower temperatures.,https://www.jpl.nasa.gov/news/ghostly-specter-haunts-the-coldest-place-in-the-universe/,https://science.nasa.gov/missions/hubble/boomerang-nebula/,Planned
V009,Space & Astronomy,Interactive comparison,How Much Would You Weigh on Other Planets?,A 70-kilogram person would feel very different on Mars and Jupiter.,Let viewers choose where they would weigh least and most.,"Among the planets, Mercury and Mars give about 38% of Earth weight; Jupiter gives about 2.5 times Earth weight at the reference level.","Mass stays the same; weight changes with surface gravity. Gas giants lack a solid surface, so values use a reference level.","On Saturn, despite its huge mass, the reference gravity is only slightly stronger than Earth’s.",35,High,Medium,React Three Fiber,"Remotion scale, SVG weight gauge",Explain reference gravity on gas giants and distinguish mass from weight.,https://spaceplace.nasa.gov/planets-weight/en/,https://solarsystem.nasa.gov/planet-compare/,Planned
V010,Space & Astronomy,Myth versus fact,Can Sound Travel Through Space?,Movies give space explosions a roar. Would you actually hear one?,Play an explosion twice and ask which version is physically correct.,"In a vacuum, sound cannot travel because there is no material medium to carry the pressure wave.",Light and radio are electromagnetic waves and can cross a vacuum; sound can travel inside spacecraft or through gas and plasma.,"An object can still vibrate in space, but without nearby matter the vibration does not become audible sound for a distant listener.",28,High,Easy,Motion Canvas,"Remotion split-screen, waveform animation","Space is not perfectly empty everywhere; sound-like pressure waves can occur in gas or plasma, but ordinary audio does not cross a vacuum.",https://science.nasa.gov/ems/02_anatomy/,https://cosmicopia.gsfc.nasa.gov/qa_sp_en.html,Planned
