bar,start_seconds,chord,confidence
1,0.161250,F7,0.111792
2,1.661250,F7,0.071716
3,3.161250,F7,0.001124
4,4.661250,F7,0.002123
5,6.161250,F7,0.001848
6,7.661250,F7,0.026045
7,9.161250,F7,0.012584
8,10.661250,F7,0.024012
9,12.161250,F7,0.007903
10,13.661250,F7,0.029366
11,15.161250,F7,0.011280
12,16.661250,F7,0.015002
13,18.161250,F7,0.006515
14,19.661250,F7,0.044529
15,21.161250,F7,0.002054
16,22.661250,F7,0.019858
17,24.161250,F7,0.004302
18,25.661250,Dbmaj7,0.025765
19,27.161250,Cm7,0.060913
20,28.661250,Cm7,0.077594
21,30.161250,F7,0.076966
22,31.661250,Dbmaj7,0.022548
23,33.161250,Cm7,0.047141
24,34.661250,Cm7,0.093748
25,36.161250,F7,0.079011
26,37.661250,F7,0.038591
27,39.161250,F7,0.043924
28,40.661250,F7,0.003767
29,42.161250,F7,0.022794
30,43.661250,F7,0.062118
31,45.161250,F7,0.070607
32,46.661250,F7,0.010103
33,48.161250,F7,0.038790
34,49.661250,F7,0.032025
35,51.161250,F7,0.045642
36,52.661250,F7,0.003501
37,54.161250,Cm7,0.017806
38,55.661250,Cm7,0.042102
39,57.161250,Cm7,0.079558
40,58.661250,Cm7,0.004280
41,60.161250,Cm7,0.081619
42,61.661250,Cm7,0.000711
43,63.161250,Cm7,0.020755
44,64.661250,Cm7,0.026549
45,66.161250,Cm7,0.032796
46,67.661250,Cm7,0.003789
47,69.161250,Cm7,0.098406
48,70.661250,Cm7,0.029844
49,72.161250,Cm7,0.063754
50,73.661250,Cm7,0.014145
51,75.161250,Cm7,0.004962
52,76.661250,Cm7,0.024573
53,78.161250,Cm7,0.037173
54,79.661250,Cm7,0.004940
55,81.161250,Cm7,0.062088
56,82.661250,F7,0.021025
57,84.161250,F7,0.072549
58,85.661250,F7,0.032865
59,87.161250,F7,0.043812
60,88.661250,F7,0.008974
61,90.161250,F7,0.022479
62,91.661250,Fm7,0.028601
63,93.161250,F7,0.068031
64,94.661250,F7,0.007484
65,96.161250,F7,0.043200
66,97.661250,F7,0.005199
67,99.161250,F7,0.041532
68,100.661250,F7,0.005444
69,102.161250,F7,0.033337
70,103.661250,F7,0.015964
71,105.161250,F7,0.013717
72,106.661250,F7,0.014200
73,108.161250,F7,0.080116
74,109.661250,F7,0.001122
75,111.161250,F7,0.019857
76,112.661250,F7,0.023235
77,114.161250,Cm7,0.030520
78,115.661250,Cm7,0.005033
79,117.161250,Cm7,0.098873
80,118.661250,Cm7,0.029641
81,120.161250,Cm7,0.060476
82,121.661250,Cm7,0.014960
83,123.161250,Cm7,0.002306
84,124.661250,Cm7,0.032248
85,126.161250,Cm7,0.036024
86,127.661250,Cm7,0.001983
